thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
40,230,0.491714,0.953065,0.185042,0.0170674,0,0,0.966215
40,240,0.492687,0.967058,0.156922,0.0240518,0,0,0.963929
40,250,0.492328,0.961687,0.136329,0.0316062,0,0,0.953216
40,260,0.490262,0.956643,0.125349,0.0396313,0,0,0.94667
40,270,0.485376,0.95597,0.124681,0.048,0,0,0.946348
40,280,0.479468,0.967087,0.128144,0.056006,0,0,0.954408
40,290,0.476845,0.978491,0.130112,0.0630509,0,0,0.963478
40,300,0.473003,0.980187,0.12993,0.0693264,0,0,0.96461
40,310,0.467937,0.979021,0.134545,0.075677,0,0,0.965718
40,320,0.462201,0.975505,0.154815,0.0828575,0,0,0.973175
40,330,0.451136,0.971682,0.187206,0.0902668,0,0,0.9834
40,340,0.438397,0.979177,0.213188,0.0958368,0.00588761,0,0.998711
40,350,0.429068,0.982009,0.228535,0.0991295,0.017682,0,1.01029
50,0,0.444166,0.950825,0.257293,0.00186183,0.00626639,0,0.969833
50,10,0.454066,0.950182,0.245351,0.00349482,0.00194263,0,0.967691
50,20,0.47472,0.944915,0.212799,0.00840674,0,0,0.961543
50,30,0.488885,0.940438,0.167381,0.0159689,0,0,0.947672
50,40,0.498232,0.947292,0.119074,0.0252332,0,0,0.936945
50,50,0.512043,0.951885,0.0709079,0.0362694,0,0,0.928319
50,60,0.521174,0.953908,0.0270904,0.0487539,0,0,0.918096
50,70,0.52384,0.954185,0.00709047,0.0595285,0,0,0.914171
50,80,0.52355,0.955971,0.0107192,0.067633,0,0,0.920125
50,90,0.514834,0.957018,0.0260777,0.0748955,0,0,0.926108
50,100,0.508324,0.954792,0.045231,0.0832807,0,0,0.933798
50,110,0.503208,0.94976,0.0683071,0.0930415,0,0,0.943151
50,120,0.498408,0.945228,0.0951456,0.103886,0,0,0.955309
50,130,0.504595,0.953089,0.122715,0.115452,0,0,0.982149
50,140,0.519712,0.954986,0.148668,0.127161,0,0,1.01002
50,150,0.528734,0.953494,0.168723,0.137925,0,0,1.02887
50,160,0.524841,0.948811,0.182385,0.14668,0,0,1.03406
50,170,0.523592,0.943876,0.188294,0.152724,0,0,1.03572
50,180,0.524294,0.937106,0.188562,0.155192,0,0,1.0332
50,190,0.522969,0.943938,0.189009,0.152825,0,0,1.03578
50,200,0.52385,0.951045,0.183768,0.146799,0,0,1.03554
50,210,0.527318,0.959076,0.169528,0.138371,0,0,1.03195
50,220,0.518899,0.965623,0.148461,0.127817,0,0,1.01607
50,230,0.503312,0.953873,0.122139,0.11644,0,0,0.981957
50,240,0.498077,0.946471,0.0940675,0.105041,0,0,0.95578
50,250,0.503035,0.946865,0.0670805,0.0943048,0,0,0.941202
50,260,0.508228,0.950646,0.0433162,0.0847211,0,0,0.930871
50,270,0.513626,0.953284,0.0237215,0.0765147,0,0,0.922613
50,280,0.521322,0.952999,0.00865447,0.0692202,0,0,0.916608
50,290,0.522013,0.954163,0.00710078,0.0608273,0,0,0.913587
50,300,0.51877,0.9541,0.0287822,0.0498532,0,0,0.918055
50,310,0.509868,0.950688,0.0732833,0.0371399,0,0,0.927831
50,320,0.497805,0.946353,0.122149,0.0259231,0,0,0.937939
50,330,0.49018,0.939915,0.170981,0.0163869,0,0,0.950102
50,340,0.474883,0.947319,0.215915,0.00873143,0,0,0.964771
50,350,0.453546,0.951414,0.247532,0.00366062,0.00180463,0,0.969199
60,0,0.487289,0.92011,0.283464,0.131251,0,0,1.03867
60,10,0.494742,0.915422,0.262452,0.133568,0,0,1.03075
60,20,0.508111,0.912686,0.217229,0.139097,0,0,1.01673
60,30,0.520208,0.907698,0.165086,0.146562,0,0,0.997911
60,40,0.535151,0.916281,0.109459,0.156092,0,0,0.988026
60,50,0.547306,0.923795,0.0560955,0.167446,0,0,0.977687
60,60,0.556107,0.935723,0.0129647,0.179544,0,0,0.973398
60,70,0.565657,0.943345,0.0143694,0.191812,0,0,0.989311
60,80,0.562807,0.943002,0.00776283,0.200852,0,0,0.987708
60,90,0.551906,0.935849,0.023238,0.207846,0,0,0.98741
60,100,0.541306,0.943738,0.0596737,0.216256,0,0,1.00737
60,110,0.529509,0.944094,0.0908172,0.228458,0,0,1.02095
60,120,0.520371,0.937578,0.118236,0.244008,0,0,1.03149
60,130,0.524603,0.938052,0.140087,0.261721,0,0,1.05232
60,140,0.528727,0.944322,0.154805,0.280062,0,0,1.07326
60,150,0.53445,0.942424,0.163346,0.297146,0,0,1.08666
60,160,0.533804,0.938992,0.167161,0.310616,0,0,1.0915
60,170,0.528408,0.932838,0.167729,0.318873,0,0,1.08816
60,180,0.52642,0.92414,0.168953,0.321176,0,0,1.08328
60,190,0.52907,0.926744,0.168877,0.318808,0,0,1.08545
60,200,0.537655,0.936159,0.168478,0.310819,0,0,1.09286
60,210,0.536275,0.943064,0.164688,0.297526,0,0,1.08896
60,220,0.527658,0.949258,0.156034,0.280623,0,0,1.07642
60,230,0.522051,0.950523,0.140742,0.262453,0,0,1.0589
60,240,0.51915,0.942049,0.118322,0.245005,0,0,1.03388
60,250,0.528246,0.951846,0.0906776,0.229602,0,0,1.02523
60,260,0.540209,0.954195,0.0589534,0.217506,0,0,1.01312
60,270,0.550413,0.947907,0.0225699,0.209156,0,0,0.99394
60,280,0.560529,0.939135,0.00781453,0.202207,0,0,0.984589
60,290,0.563422,0.939027,0.0137403,0.193174,0,0,0.985609
60,300,0.555046,0.931611,0.0144309,0.18078,0,0,0.971522
60,310,0.546821,0.925097,0.0584778,0.168491,0,0,0.979786
60,320,0.535663,0.917048,0.112605,0.156908,0,0,0.990692
60,330,0.521463,0.910867,0.168344,0.147141,0,0,1.00243
60,340,0.509914,0.919648,0.220229,0.139574,0,0,1.02368
60,350,0.496135,0.92116,0.263532,0.133861,0,0,1.03569
70,0,0.535738,0.905925,0.291086,0.291499,0,0,1.12714
70,10,0.533487,0.914119,0.279215,0.290865,0,0,1.12452
70,20,0.539567,0.919394,0.242221,0.292156,0,0,1.11335
70,30,0.554932,0.927855,0.190465,0.296243,0,0,1.1034
70,40,0.56576,0.931707,0.142815,0.300899,0,0,1.09025
70,50,0.577292,0.934035,0.101534,0.306809,0,0,1.08029
70,60,0.587913,0.9444,0.0764742,0.31239,0,0,1.08258
70,70,0.596398,0.956897,0.0691518,0.318921,0,0,1.09412
70,80,0.600683,0.963221,0.0753111,0.328632,0,0,1.10745
70,90,0.595809,0.961966,0.101075,0.340033,0,0,1.12122
70,100,0.576499,0.956739,0.148503,0.349902,0,0,1.13415
70,110,0.55537,0.954697,0.197129,0.361631,0.00492467,0,1.15197
70,120,0.544867,0.947814,0.229937,0.378849,0.0160071,0,1.17092
70,130,0.542488,0.948838,0.250482,0.398085,0.0282327,0,1.1948
70,140,0.535174,0.95112,0.260254,0.416968,0.039967,0,1.21067
70,150,0.537599,0.955804,0.258625,0.433738,0.0549475,0,1.22907
70,160,0.535164,0.951775,0.258833,0.443823,0.0638828,0,1.23424
70,170,0.524493,0.950004,0.261396,0.449967,0.0654714,0,1.23139
70,180,0.518812,0.943575,0.265461,0.45144,0.0626791,0,1.22521
70,190,0.52583,0.937153,0.26255,0.450014,0.065537,0,1.22512
70,200,0.536767,0.943509,0.259921,0.443928,0.0627786,0,1.23023
70,210,0.540899,0.958158,0.26023,0.433912,0.0552476,0,1.2335
70,220,0.536832,0.95045,0.261688,0.417198,0.0396693,0,1.21191
70,230,0.541845,0.953183,0.251634,0.39847,0.0274775,0,1.19733
70,240,0.544981,0.95193,0.230694,0.379451,0.0157483,0,1.17394
70,250,0.5526,0.959215,0.197506,0.362439,0.00499677,0,1.15357
70,260,0.573739,0.962141,0.148916,0.350858,0,0,1.13633
70,270,0.591363,0.960796,0.102083,0.340877,0,0,1.11869
70,280,0.596769,0.960105,0.0769681,0.329552,0,0,1.10443
70,290,0.593039,0.955049,0.0711092,0.319896,0,0,1.09237
70,300,0.586419,0.943699,0.0789401,0.313491,0,0,1.08294
70,310,0.57617,0.934213,0.104359,0.30794,0,0,1.08159
70,320,0.566476,0.927165,0.145785,0.301946,0,0,1.08985
70,330,0.557979,0.917951,0.193678,0.29708,0,0,1.10123
70,340,0.542264,0.910011,0.244924,0.29275,0,0,1.11093
70,350,0.533207,0.909117,0.280374,0.291217,0,0,1.12207
80,0,0.574182,0.937885,0.372241,0.434733,0.0582956,0,1.29932
80,10,0.575029,0.937799,0.363106,0.434688,0.0604485,0,1.29637
80,20,0.576089,0.939965,0.343814,0.430714,0.0591233,0,1.28634
80,30,0.583554,0.943937,0.309861,0.425566,0.0589281,0,1.27406
80,40,0.592296,0.945191,0.273559,0.421657,0.062195,0,1.26214
80,50,0.599584,0.949795,0.245399,0.41939,0.0677736,0,1.25736
80,60,0.608751,0.955783,0.228411,0.420086,0.0746317,0,1.26201
80,70,0.615661,0.96313,0.224624,0.424089,0.0859323,0,1.27648
80,80,0.620393,0.971088,0.236313,0.431352,0.0974824,0,1.2992
80,90,0.620382,0.971808,0.263456,0.442225,0.102833,0,1.32049
80,100,0.600931,0.965992,0.30574,0.455797,0.119047,0,1.34082
80,110,0.569401,0.961577,0.360023,0.466693,0.133085,0,1.35847
80,120,0.556728,0.963937,0.394821,0.478668,0.150522,0,1.38406
80,130,0.547815,0.969145,0.404425,0.490358,0.172409,0,1.40336
80,140,0.545075,0.972336,0.399876,0.498307,0.183622,0,1.4107
80,150,0.548344,0.97371,0.394123,0.503566,0.193763,0,1.41829
80,160,0.54741,0.973262,0.386576,0.508378,0.200363,0,1.41924
80,170,0.533798,0.971326,0.378832,0.512583,0.205247,0,1.41041
80,180,0.527323,0.962509,0.3747,0.514625,0.206473,0,1.40066
80,190,0.534376,0.971629,0.37952,0.512535,0.20651,0,1.41196
80,200,0.548272,0.974403,0.387713,0.508292,0.200799,0,1.42122
80,210,0.55126,0.975556,0.395114,0.503448,0.192615,0,1.42096
80,220,0.547446,0.971717,0.40103,0.498232,0.182281,0,1.41156
80,230,0.548763,0.96784,0.405259,0.490479,0.17106,0,1.40287
80,240,0.555988,0.964071,0.395471,0.478906,0.150049,0,1.38386
80,250,0.569247,0.964996,0.360474,0.467124,0.13329,0,1.36094
80,260,0.599659,0.965188,0.306451,0.456351,0.119149,0,1.34021
80,270,0.618036,0.9708,0.264648,0.442808,0.101778,0,1.31873
80,280,0.619068,0.970215,0.238044,0.431957,0.0990427,0,1.29985
80,290,0.615069,0.962154,0.226953,0.424813,0.0875183,0,1.27787
80,300,0.608536,0.956637,0.231062,0.42094,0.0754321,0,1.2645
80,310,0.599433,0.952283,0.248188,0.420443,0.0669889,0,1.26014
80,320,0.591342,0.94716,0.276821,0.42278,0.0620107,0,1.26473
80,330,0.58562,0.940468,0.313383,0.426494,0.0586346,0,1.27519
80,340,0.577096,0.93227,0.346732,0.431465,0.0590516,0,1.28405
80,350,0.574586,0.933089,0.364671,0.434988,0.0626117,0,1.29537
90,0,0.605564,0.96847,0.540392,0.516429,0.155631,0,1.50679
90,10,0.603924,0.964942,0.532981,0.514829,0.156644,0,1.4999
90,20,0.606501,0.967325,0.515482,0.511072,0.157244,0,1.49295
90,30,0.614714,0.968786,0.494853,0.505508,0.160198,0,1.48784
90,40,0.622805,0.969538,0.470564,0.498919,0.161098,0,1.47886
90,50,0.635437,0.974156,0.448066,0.494367,0.164891,0,1.47823
90,60,0.642677,0.977558,0.432331,0.493168,0.168974,0,1.47851
90,70,0.639988,0.981113,0.426628,0.495839,0.178758,0,1.48263
90,80,0.638594,0.982508,0.43305,0.501151,0.192575,0,1.49556
90,90,0.629469,0.982882,0.453389,0.508317,0.200833,0,1.50789
90,100,0.612975,0.983339,0.482265,0.518714,0.210426,0,1.52214
90,110,0.592354,0.987069,0.513462,0.529005,0.219844,0,1.5369
90,120,0.574106,0.990293,0.541833,0.5324,0.225136,0,1.54634
90,130,0.56788,0.993321,0.5536,0.530554,0.221675,0,1.54766
90,140,0.570877,0.994802,0.545909,0.530499,0.223092,0,1.54726
90,150,0.573185,0.995225,0.528283,0.532018,0.225185,0,1.54185
90,160,0.579309,0.992845,0.507499,0.533919,0.226752,0,1.53532
90,170,0.580807,0.990275,0.491674,0.534698,0.22708,0,1.52726
90,180,0.57733,0.985866,0.486266,0.534775,0.226698,0,1.51964
90,190,0.581284,0.990498,0.49226,0.534629,0.227238,0,1.52803
90,200,0.580604,0.993034,0.508351,0.533809,0.226739,0,1.53659
90,210,0.57474,0.995576,0.529075,0.531883,0.225853,0,1.5437
90,220,0.572022,0.994495,0.54596,0.530311,0.223679,0,1.54804
90,230,0.569164,0.992058,0.553443,0.530389,0.221465,0,1.54742
90,240,0.573923,0.988318,0.540993,0.532282,0.225019,0,1.54451
90,250,0.590759,0.983946,0.512264,0.529063,0.218962,0,1.53301
90,260,0.612021,0.980448,0.481564,0.518871,0.209314,0,1.51893
90,270,0.629363,0.980909,0.453245,0.50856,0.200471,0,1.50647
90,280,0.63753,0.982064,0.433911,0.501434,0.192581,0,1.4952
90,290,0.638391,0.981705,0.428258,0.496275,0.179917,0,1.48365
90,300,0.641083,0.980016,0.434263,0.493805,0.170012,0,1.48082
90,310,0.635817,0.978019,0.450448,0.495164,0.165951,0,1.48286
90,320,0.622092,0.974822,0.47334,0.499807,0.162494,0,1.48411
90,330,0.612229,0.971452,0.497725,0.506413,0.162133,0,1.49081
90,340,0.605417,0.971858,0.518127,0.511821,0.157014,0,1.49651
90,350,0.603602,0.971387,0.534615,0.515176,0.157071,0,1.50476
