thita,fay,f_edge,f_grad,f_var,f_mean,f_hist,f_dir,f_Q
80,60,0.587756,1,0.822512,0.681043,0.923256,0,2.14412
80,70,0.587791,1,0.785832,0.687552,0.922999,0,2.12826
80,80,0.588344,1,0.713165,0.700414,0.922832,0,2.09731
80,90,0.589613,1,0.603214,0.719812,0.922685,0,2.05078
80,100,0.546534,1,0.32892,0.674138,0.2875,0,1.52016
80,110,0.296043,1,0.0460719,0.51985,0.244235,0,1.14293
80,120,0.352958,1,0.0363537,0.472742,0.258682,0,1.16132
80,130,0.266714,1,0.202327,0.478173,0.2399,0,1.18441
80,140,0.447524,1,0.604496,0.52785,0.588108,0,1.70536
80,150,0.441338,1,0.731928,0.490042,0.58817,0,1.75028
80,160,0.436465,1,0.820815,0.463604,0.587894,0,1.78107
80,170,0.433496,1,0.873455,0.447917,0.587856,0,1.79931
80,180,0.432041,1,0.890886,0.442718,0.588055,0,1.80519
80,190,0.432512,1,0.873407,0.447938,0.587846,0,1.7987
80,200,0.434295,1,0.820762,0.46363,0.587877,0,1.77974
80,210,0.439119,1,0.7319,0.490066,0.58816,0,1.74894
80,220,0.445004,1,0.604395,0.527891,0.588118,0,1.70382
80,230,0.298421,1,0.203541,0.478546,0.241237,0,1.20492
80,240,0.41205,1,0.0382002,0.473402,0.259963,0,1.19867
80,250,0.353079,1,0.0475566,0.52068,0.245686,0,1.17903
80,260,0.593792,1,0.328612,0.674991,0.289088,0,1.54958
80,270,0.634643,1,0.602462,0.720801,0.924303,0,2.0787
80,280,0.631497,1,0.712142,0.701503,0.924456,0,2.12402
80,290,0.629382,1,0.784379,0.68875,0.924638,0,2.15387
80,300,0.628382,1,0.820863,0.682293,0.924901,0,2.16907
80,310,0.628218,1,0.821975,0.682093,0.924927,0,2.16947
80,320,0.629051,1,0.787551,0.688181,0.924783,0,2.15511
80,330,0.630616,1,0.717346,0.700574,0.924475,0,2.12573
80,340,0.387779,1,0.516669,0.613622,0.564558,0,1.64696
80,350,0.378001,1,0.469303,0.569448,0.562753,0,1.59875
90,0,0.442592,1,0.275443,0.613839,0.56954,0,1.56206
90,10,0.388526,1,0.29557,0.630259,0.563737,0,1.54306
90,20,0.59512,1,0.48564,0.740465,0.922701,0,2.00356
90,30,0.592834,1,0.600158,0.720325,0.922782,0,2.05144
90,40,0.591423,1,0.674335,0.707249,0.922821,0,2.08247
90,50,0.590469,1,0.710543,0.70086,0.922796,0,2.09743
90,60,0.590079,1,0.709224,0.701099,0.922785,0,2.09663
90,70,0.589646,1,0.670667,0.707911,0.922688,0,2.07976
90,80,0.591045,1,0.593823,0.721457,0.922653,0,2.04758
90,90,0.593168,1,0.476651,0.74206,0.922704,0,1.99854
90,100,0.597074,1,0.314098,0.770566,0.92278,0,1.93105
90,110,0.572073,1,0.0146816,0.744669,0.293541,0,1.4099
90,120,0.4126,1,0.239591,0.613229,0.27543,0,1.36413
90,130,0.482632,1,0.157152,0.659874,0.590682,0,1.55698
90,140,0.46288,1,0.362695,0.599266,0.589535,0,1.62303
90,150,0.452068,1,0.509491,0.555909,0.588657,0,1.67211
90,160,0.446424,1,0.609624,0.526291,0.58795,0,1.70656
90,170,0.443367,1,0.668296,0.508919,0.587745,0,1.727
90,180,0.441582,1,0.687593,0.503206,0.587801,0,1.73332
90,190,0.442455,1,0.668276,0.508933,0.587734,0,1.72644
90,200,0.444513,1,0.609626,0.526302,0.587928,0,1.7054
90,210,0.452213,1,0.509452,0.555935,0.588637,0,1.67218
90,220,0.462305,1,0.362678,0.599285,0.589539,0,1.62268
90,230,0.482523,1,0.157085,0.659904,0.59067,0,1.55689
90,240,0.456496,1,0.238111,0.613701,0.276372,0,1.39044
90,250,0.622471,1,0.0146702,0.745287,0.295024,0,1.4412
90,260,0.643494,1,0.313699,0.771341,0.924414,0,1.95991
90,270,0.638551,1,0.476132,0.742937,0.924331,0,2.02675
90,280,0.635168,1,0.593063,0.722431,0.924289,0,2.07496
90,290,0.632826,1,0.669679,0.708963,0.924326,0,2.1065
90,300,0.631434,1,0.707969,0.702215,0.92443,0,2.12217
90,310,0.631172,1,0.709057,0.702018,0.924438,0,2.12248
90,320,0.632045,1,0.672841,0.708394,0.924446,0,2.10745
90,330,0.633674,1,0.598533,0.721459,0.924407,0,2.07648
90,340,0.636754,1,0.483917,0.741561,0.924326,0,2.02901
90,350,0.38439,1,0.294556,0.630618,0.563764,0,1.54023
